title,company,location,experience_level,years_experience_min,years_experience_max,degree_requirements,confidence_score,needs_review,source,url,skills_keywords,work_areas
Senior Control Room Operator,Kairos Power,"Albuquerque, NM",Senior,5,5,Associate's with 5+ years (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5775766004,"Excel, Communication","Renewable Energy, Nuclear"
Senior Electron Beam Welding Engineer,Kairos Power,"Albuquerque, NM",Senior,,,Associate's with 5 years (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5619089004,"AWS, Data Analysis, CAD, Mechanical Engineering, Agile, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
"Senior Engineer, Engineering Operations",Kairos Power,"Albuquerque, NM ",Senior,,,"Bachelor's with 7 years (or equivalent), Associate's with 7 years (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5371179004,"SCADA, Electrical Engineering, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear"
"Senior Engineer, Power Plant Operational Design",Kairos Power,"Alameda, CA",Senior,4,6,"Master's with 6+ years, Bachelor's with 6+ years, Associate's with 6+ years",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5527250004,,"Renewable Energy, Electric Vehicles, Nuclear"
"Senior Engineer, Power Plant Operational Design",Kairos Power,"Albuquerque, NM ",Senior,4,6,"Master's with 6+ years, Bachelor's with 6+ years, Associate's with 6+ years",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5527556004,,"Renewable Energy, Electric Vehicles, Nuclear"
"Senior Mechanical Engineer, High-Temperature Fluid Systems and Component Design",Kairos Power,"Alameda, CA or Albuquerque, NM ",Senior,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5406294004,"CAD, ANSYS, FEA, CFD, Electrical Engineering, Mechanical Engineering","Renewable Energy, Electric Vehicles, Nuclear, Built Environment, Manufacturing"
"Senior Mechanical Engineer, Remote Handling and Full Scale Integration",Kairos Power,"Oak Ridge, TN",Senior,8,8,"Bachelor's with 8+ years (or equivalent), Associate's with 8+ years (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5272080004,"Python, MATLAB, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Senior Mill-Turn Machinist,Kairos Power,"Alameda, CA or Richmond, CA",Senior,5,5,"Associate's, High School with 5+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5597982004,CAD,"Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Senior Nuclear Facility Engineer,Kairos Power,"Alameda, CA or Remote in US",Senior,5,5,Associate's with 5+ years (or equivalent),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5704966004,"CAD, FEA, CFD, Solar, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Senior Nuclear Process Engineer – Inert Gas and Tritium Management,Kairos Power,"Oak Ridge, TN or Albuquerque, NM",Senior,7,7,"Bachelor's with 7+ years, Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5611835004,"Mechanical Engineering, Communication","Renewable Energy, Nuclear, Materials"
Senior Structural FEA Engineer,Kairos Power,"Alameda, CA",Senior,5,5,"PhD with 5 years (required), Master's (required), Associate's (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5566800004,"Python, CAD, ANSYS, FEA, Communication","Renewable Energy, Nuclear"
"Senior Test Engineer, Instrumentation & Controls",Kairos Power,"Alameda, CA",Senior,8,10,"Master's with 10+ years (or equivalent), Bachelor's with 10+ years (required), Associate's (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5458117004,"MATLAB, CAD, Electrical Engineering, Mechanical Engineering","Renewable Energy, Electric Vehicles, Nuclear"
Supply Chain & Procurement Intern,Kairos Power,"Albuquerque, NM ",Internship,,,"Associate's (or equivalent), High School (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5735571004,"Data Analysis, Sales, Excel, Communication","Renewable Energy, Electric Vehicles, Nuclear, Supply Chain, Manufacturing"
TDL Fuels IC&E Engineer,Kairos Power,"Albuquerque, NM",Senior,5,5,Associate's with 5+ years (or equivalent),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5595144004,"CAD, Electrical Engineering, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Supply Chain, Manufacturing"
Test Engineer - Instrumentation and Controls,Kairos Power,"Alameda, CA",Associate,3,3,Associate's with 3+ years (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5654962004,"Python, CAD, PLC, Electrical Engineering, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Thermal Hydraulics Model Development Engineering Intern - Summer 2026,Kairos Power,"Alameda, CA or Remote",Internship,,,"PhD (preferred), Associate's (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5763261004,Mechanical Engineering,"Renewable Energy, Nuclear"
Accounting Intern,Redwood Materials,"Carson City, NV",Internship,,,"Bachelor's, Associate's",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5781936004?gh_jid=5781936004,"Battery Technology, Finance, Excel, Communication","Energy Storage, Electric Vehicles, Circular Economy, Supply Chain, Manufacturing"
"Associate Manager, Logistics",Redwood Materials,"McCarran, NV",Associate,,,Associate's with 5 years (preferred),1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5799506004?gh_jid=5799506004,"Battery Technology, Communication","Energy Storage, Electric Vehicles, Circular Economy, Supply Chain"
Backend Engineering Intern,Redwood Materials,"McCarran, NV",Internship,,,"Master's (preferred), Bachelor's (preferred)",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5792229004?gh_jid=5792229004,"Python, AWS, Docker, Kubernetes, CI/CD, Mechanical Engineering, Battery Technology","Energy Storage, Electric Vehicles, Circular Economy, Supply Chain, Manufacturing"
Calibration Technician,Redwood Materials,"McCarran, NV",Associate,,,Associate's (required),1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5781336004?gh_jid=5781336004,"Battery Technology, Sustainability, Communication","Energy Storage, Agriculture, Circular Economy, Supply Chain, Manufacturing"
Chemical Engineering Intern,Redwood Materials,"Carson City, NV; McCarran, NV",Internship,,,"Bachelor's, Associate's (preferred)",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5790740004?gh_jid=5790740004,"Chemical Engineering, Battery Technology, Sustainability","Energy Storage, Electric Vehicles, Materials, Circular Economy, Supply Chain, Manufacturing"
Commercial Operations Associate,Redwood Materials,"Carson City, NV",Associate,1,3,"Associate's, High School with 1-3 years (required)",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5748946004?gh_jid=5748946004,"Battery Technology, Sustainability, Sales, Finance, Excel, Communication","Energy Storage, Circular Economy, Supply Chain"
"Compliance Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Senior,7,7,Associate's,1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5734264004?gh_jid=5734264004,"Battery Technology, Sustainability, Communication","Energy Storage, Circular Economy, Supply Chain, Manufacturing, Policy & Advocacy"
"Director of Power Electronics and Electrical Engineering, Energy Storage",Redwood Materials,"San Francisco, California, United States",Executive,7,7,"Master's with 7+ years (preferred), Bachelor's with 7+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5737884004?gh_jid=5737884004,"CAD, Electrical Engineering, Battery Technology, Project Management, Communication","Energy Storage, Grid & Transmission, Circular Economy, Supply Chain, Manufacturing"
"Mechanical Design Engineer, Energy Storage",Redwood Materials,"San Francisco, California, United States",Senior,7,7,"Master's with 7+ years (preferred), Bachelor's with 7+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5737894004?gh_jid=5737894004,"CAD, FEA, CFD, Mechanical Engineering, Battery Technology, Communication","Energy Storage, Grid & Transmission, Built Environment, Circular Economy, Supply Chain, Manufacturing"
"Business Development Manager, Energy Storage",Redwood Materials,"San Francisco, California, United States",Senior,5,5,,1,FALSE,Greenhouse API,https://boards.greenhouse.io/redwoodmaterials/jobs/5572952004?gh_jid=5572952004,"Battery Technology, Solar, Sustainability, Sales, Finance","Energy Storage, Renewable Energy, Circular Economy, Supply Chain"
